INN	Position_384	Num_plaque384	TEE
Penfluridol	6	H6	PRC_1328
Sulbactam	6	H7	PRC_1379
Phensuccimide	6	H8	PRC_1329
Cisapride	6	H9	PRC_1387
Pipenzolate Bromide	6	H10	PRC_1330
loprazolam mesylate	6	H11	PRC_1394
Piromidic Acid	6	H12	PRC_1331
Ropivacaine hydrochloride monohydrate	6	H13	PRC_1402
Polymyxin B Sulfate	6	H14	PRC_1314
			
Practolol	6	H16	PRC_1332
Agomelatine	6	H17	PRC_1417
Propantheline Bromide	6	H18	PRC_1333
Remifentanil	6	H19	PRC_1425
Prulifloxacin	6	H20	PRC_1335
Homatropine Hydrochloride	6	H21	PRC_1433
Pyrithyldione	6	H22	PRC_1336
Coenzyme B12	6	I3	PRC_1241
Bismuth(Iii) Salicylate Basic	6	I4	PRC_1311
Colistimethate Sodium	6	I5	PRC_1242
Fluorescein	6	I6	PRC_1283
Cortisone Acetate	6	I7	PRC_1243
R-Omeprazole	6	I8	PRC_1357
			
			
Debrisoquin Sulfate	6	I11	PRC_1245
Codeine Hydrochloride	6	I12	PRC_1304
Dehydrocholic Acid	6	I13	PRC_1246
Acarbose	6	I14	PRC_1316
Dichlorisone Acetate	6	I15	PRC_1247
Bretylium Tosylate	6	I16	PRC_1302
Dinitolmide	6	I17	PRC_1248
Meclofenoxate	6	I18	PRC_1325
D-Lactitol Monohydrate	6	I19	PRC_1249
Doramectin	6	I20	PRC_1250
Quinupramine	6	I21	PRC_1358
Nicotine	6	I22	PRC_1284
Secobarbital	6	J3	PRC_1364
Medazepam	6	J4	PRC_1348
Nalbuphine Hydrochloride	6	J5	PRC_1372
Proscillaridin	6	J6	PRC_1334
Clonazepam	6	J7	PRC_1380
Piribedil	6	J8	PRC_1308
			
Pipamperone	6	J10	PRC_1318
Glutethimide	6	J11	PRC_1395
Pilocarpine Hydrochloride	6	J12	PRC_1288
Levobupivacaine hydrochloride	6	J13	PRC_1403
Pentobarbital	6	J14	PRC_1353
dabigatran etexilate	6	J15	PRC_1410
Oxomemazine	6	J16	PRC_1360
Tri-Methylphloroglucinol	6	J17	PRC_1418
Opipramol	6	J18	PRC_1356
febarbamate	6	J19	PRC_1426
(+)-Norephedrine Hydrochloride	6	J20	PRC_1310
Ursodeoxycholic Acid	6	J21	PRC_1434
			
D-Phenylalanine	6	K3	PRC_1251
Zuclopenthixol	6	K4	PRC_1319
Edaravone	6	K5	PRC_1252
Betaxolol Hydrochloride	6	K6	PRC_1313
Edoxudine	6	K7	PRC_1253
Benorilate	6	K8	PRC_1324
Efaroxan Hydrochloride	6	K9	PRC_1254
Beclomethasone	6	K10	PRC_1317
Epiestriol	6	K11	PRC_1255
Barbital	6	K12	PRC_1323
Ethopabate	6	K13	PRC_1256
Amobarbital	6	K14	PRC_1303
Ethoxzolamide	6	K15	PRC_1257
Ajmaline Hydrochloride	6	K16	PRC_1322
Febuxostat	6	K17	PRC_1258
Aceprometazine	6	K18	PRC_1359
Flurandrenolide	6	K19	PRC_1259
Acepromazine Maleate	6	K20	PRC_1321
Inositol	6	K21	PRC_1260
Flunitrazepam	6	K22	PRC_1294
Efloxate	6	L3	PRC_1365
			
Rilmenidine	6	L5	PRC_1373
Triazolam	6	L6	PRC_1368
Vinbarbital	6	L7	PRC_1381
Doripenem	6	L8	PRC_1376
Amprenavir	6	L9	PRC_1388
Zidovudine	6	L10	PRC_1384
Etravirine	6	L11	PRC_1396
Dulcitol	6	L12	PRC_1391
Thiopental Sodium	6	L13	PRC_1404
Alpidem	6	L14	PRC_1399
rivaroxaban	6	L15	PRC_1411
Warfarin	6	L16	PRC_1407
Acamprosate Calcium	6	L17	PRC_1419
Propericiazine	6	L18	PRC_1414
difebarbamate	6	L19	PRC_1427
Nebivolol Hydrochloride	6	L20	PRC_1422
Dihydrocodeine	6	L21	PRC_1435
retigabine	6	L22	PRC_1430
Ftaxilide	6	M3	PRC_1261
Clorazepate Dipotassium	6	M4	PRC_1349
Gramicidin	6	M5	PRC_1262
Methimazole	6	M6	PRC_1351
Guanadrel Sulfate	6	M7	PRC_1263
Clobutinol	6	M8	PRC_1350
Hydralazine Hydrochloride	6	M9	PRC_1264
Carteolol	6	M10	PRC_1320
Hydroquinidine	6	M11	PRC_1265
Carpipramine	6	M12	PRC_1352
Inosine	6	M13	PRC_1266
Caffeine	6	M14	PRC_1306
Ketanserin Tartrate	6	M15	PRC_1267
Nicergoline	6	M16	PRC_1296
Lanatoside C	6	M17	PRC_1268
Neostigmine Bromide	6	M18	PRC_1298
Meclocycline Sulfosalicylate	6	M19	PRC_1269
Misoprostol	6	M20	PRC_1300
Mepartricin	6	M21	PRC_1270
Mefexamide	6	M22	PRC_1293
Flurazepam Dihydrochloride	6	N3	PRC_1366
Tofizopam	6	N4	PRC_1367
Cefepime Hydrochloride	6	N5	PRC_1374
Ertapenem	6	N6	PRC_1375
Abacavir	6	N7	PRC_1382
Darunavir	6	N8	PRC_1383
Sulfisoxazole	6	N9	PRC_1389
Atorvastatin	6	N10	PRC_1390
Felbamate	6	N11	PRC_1397
Dexlansoprazole	6	N12	PRC_1398
Desvenlafaxine	6	N13	PRC_1405
Didesmethylcitalopram tartrate	6	N14	PRC_1406
Bifonazole	6	N15	PRC_1412
N-acetyl-5-aminosalicylic acid	6	N16	PRC_1413
lacosamide	6	N17	PRC_1420
Tenofovir Disoproxil	6	N18	PRC_1421
Rimexolone	6	N19	PRC_1428
Azithromycin	6	N20	PRC_1429
Naratriptan	6	N21	PRC_1436
			
Sulfasalazine	7	C3	PRC_0001
Fampridine	7	C4	PRC_1449
Nilutamide	7	C5	PRC_0161
Methyclothiazide	7	C6	PRC_1446
Methyl-L-Tyrosine	7	C7	PRC_0321
E216	7	C8	PRC_1478
Cetirizin Dihydrochloride	7	C9	PRC_0881
E122	7	C10	PRC_1468
Fluvoxamine	7	C11	PRC_1120
E308	7	C12	PRC_1483
Quetiapine Hemifumarate	7	C13	PRC_0640
E950	7	C14	PRC_1495
Tenatoprazole	7	C15	PRC_0800
E490	7	C16	PRC_1490
5,5-Dimethyl-2,4-Oxazolidinedione	7	C17	PRC_0837
E570	7	C18	PRC_1491
Cinchonine	7	C19	PRC_1237
dapagliflozin	7	C20	PRC_1444
Propiverine hydrochloride	7	C21	PRC_1453
Oxidized Albendazole	7	C22	PRC_1515
			
			
			
Ouabain	7	D6	PRC_0160
			
Methiothepin Mesylate	7	D8	PRC_0320
			
Bepridil Hydrochloride	7	D10	PRC_0480
			
Cefixime	7	D12	PRC_1077
			
Zoledronic Acid	7	D14	PRC_0597
			
Clinafloxacin Hcl	7	D16	PRC_0757
			
Asp-Phe Methyl Ester	7	D18	PRC_0844
			
Cytisine	7	D20	PRC_1244
			
Posaconazole	7	D22	PRC_1440
Adenine	7	E3	PRC_0044
Docusate	7	E4	PRC_1459
Sulfamonomethoxine	7	E5	PRC_0204
Fluphenazine Decanoate	7	E6	PRC_1454
Promethazine Hydrochloride	7	E7	PRC_0364
E965	7	E8	PRC_1503
Enoximone	7	E9	PRC_0913
Geraniol	7	E10	PRC_1505
Canthaxanthin	7	E11	PRC_0481
E313	7	E12	PRC_1511
Mecillinam	7	E13	PRC_0641
Hydroxy Citronellal	7	E14	PRC_1506
Etifoxine	7	E15	PRC_1121
E131	7	E16	PRC_1472
Bacitracin Bacillus Licheniformis	7	E17	PRC_0879
E160e	7	E18	PRC_1497
Oxyquinoline Hemisulfate	7	E19	PRC_1280
Clotiapine	7	E20	PRC_1451
Cefamandole Nafate sodium salt	7	E21	PRC_1439
Saxagliptin hydrochloride	7	E22	PRC_1450
			
Primaquine Bisphosphate	7	F4	PRC_0117
			
Vincamine	7	F6	PRC_0277
			
L-Tryptophan	7	F8	PRC_0437
			
Triclabendazole	7	F10	PRC_1084
			
Rolipram	7	F12	PRC_0604
			
Clonidine Hydrochloride	7	F14	PRC_0764
			
Cefotaxime Sodium	7	F16	PRC_0801
			
Esomeprazole	7	F18	PRC_1201
			
Raltegravir	7	F20	PRC_1443
			
			
L-Aspartic Acid	7	G3	PRC_0037
Lisuride	7	G4	PRC_1461
Lithium Carbonate	7	G5	PRC_0197
Isoconazole	7	G6	PRC_1458
Disulfiram	7	G7	PRC_0357
E132	7	G8	PRC_1473
Desoximetasone	7	G9	PRC_0917
Cinnamyl Alcohol	7	G10	PRC_1504
Adefovir Dipivoxil	7	G11	PRC_0524
E710	7	G12	PRC_1494
Flavoxate	7	G13	PRC_0684
E285	7	G14	PRC_1498
			
			
Anisomycin From Streptomyces Griseolus	7	G17	PRC_0961
E142	7	G18	PRC_1474
Pantethine	7	G19	PRC_1327
Heptaminol Hydrochloride	7	G20	PRC_1447
Cilazapril	7	G21	PRC_1438
ataluren	7	G22	PRC_1519
			
			
			
Sapropterine	7	H6	PRC_1457
			
Stigmasterol	7	H8	PRC_1513
			
E214	7	H10	PRC_1477
			
E319	7	H12	PRC_1499
			
E129	7	H14	PRC_1471
			
E577	7	H16	PRC_1492
			
E312	7	H18	PRC_1486
			
lumacaftor	7	H20	PRC_1516
			
3-hydroxybutyric acid	7	H22	PRC_1518
Bendroflumethiazide	7	I3	PRC_0080
Atropine	7	I4	PRC_1445
Promazine Hydrochloride	7	I5	PRC_0240
E311	7	I6	PRC_1485
Orphenadrine Hydrochloride	7	I7	PRC_0400
E230	7	I8	PRC_1480
			
			
Galanthamine Hydrochloride	7	I11	PRC_0517
E100	7	I12	PRC_1466
Tinidazole	7	I13	PRC_0677
E324	7	I14	PRC_1488
Pizotifen	7	I15	PRC_1164
E127	7	I16	PRC_1470
Clomifene Citrate	7	I17	PRC_1004
Sarcosine	7	I18	PRC_1514
Milnacipran	7	I19	PRC_1326
Ornidazole	7	I20	PRC_1437
3-hydroxypropanoic acid	7	I21	PRC_1520
Meglumine Antimoniate	7	I22	PRC_1448
			
acetylisoniazid	7	J4	PRC_1465
			
E355	7	J6	PRC_1489
			
E218	7	J8	PRC_1479
			
E310	7	J10	PRC_1484
			
E151	7	J12	PRC_1475
			
Butyl Paraben	7	J14	PRC_1509
			
E481	7	J16	PRC_1501
			
Ivacaftor	7	J18	PRC_1463
			
Glycine	7	J20	PRC_1493
			
			
Bezafibrate	7	K3	PRC_0081
Morniflumate	7	K4	PRC_1462
Furazolidone	7	K5	PRC_0241
E307	7	K6	PRC_1482
Proglumide Sodium	7	K7	PRC_0401
E1000	7	K8	PRC_1510
Dihydroartemisinine	7	K9	PRC_0912
E493	7	K10	PRC_1502
Luteolin	7	K11	PRC_0560
E1505	7	K12	PRC_1496
Ifenprodil Tartrate	7	K13	PRC_0720
E321	7	K14	PRC_1500
Pralidoxime Methylsulfate	7	K15	PRC_1157
E124	7	K16	PRC_1469
Ribavirin	7	K17	PRC_0997
Histidine	7	K18	PRC_1456
Histamine	7	K19	PRC_1285
Flucloxacilline	7	K20	PRC_1455
Frovatriptan	7	K21	PRC_1441
Reboxetine hydrochloride	7	K22	PRC_1452
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
Moxisylyte Hydrochloride	7	M3	PRC_0124
Silodosin	7	M4	PRC_1460
Lactulose	7	M5	PRC_0284
Benzyl Cinnamate	7	M6	PRC_1507
Deoxycorticosterone Acetate	7	M7	PRC_0444
E231	7	M8	PRC_1481
Demeclocycline Hydrochloride	7	M9	PRC_1041
E200	7	M10	PRC_1476
Venlafaxine Hydrochloride	7	M11	PRC_0561
Triglyceride Octanoate	7	M12	PRC_1508
Desloratadine	7	M13	PRC_0721
E320	7	M14	PRC_1487
Didanosine	7	M15	PRC_1200
E110	7	M16	PRC_1467
Fusidic Acid	7	M17	PRC_1040
E572	7	M18	PRC_1512
Capsaicin	7	M19	PRC_1281
Linagliptine	7	M20	PRC_1517
Haloperidol Decanoate	7	M21	PRC_1442
Barnidipine	7	M22	PRC_1464
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
